pid,ms_subclass,ms_zoning,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod_add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,screen_porch,pool_area,pool_qc,fence,misc_feature,misc_val,mo_sold,yr_sold,sale_type,saleprice,property_age,remodel_age,porch_sf
911103060,190,C (all),75.0,8250,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,2fmCon,2Story,5,6,1895,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,3,No,Unf,0.0,Unf,0.0,957.0,957.0,GasA,2,0,SBrkr,957,0,1991,0.0,0.0,2,0,4,2,3,9,Typ,0,0,None,None,0.0,0.0,0,0,0.0,0,0,0,0,None,None,0,6,2007,WD ,119600,112,1,1
535450190,50,RL,60.0,8064,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm,1Fam,1.5Fin,5,7,1949,2006,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,CBlock,3,3,Mn,Unf,0.0,Unf,0.0,672.0,672.0,GasA,5,1,SBrkr,252,0,924,0.0,0.0,1,0,3,1,3,6,Typ,1,1,Detchd,Unf,2.0,576.0,3,3,1.0,0,0,0,0,MnPrv,Shed,2000,7,2007,WD ,122900,58,1,0
527355150,20,RL,80.0,9600,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,PosN,Norm,1Fam,1Story,8,5,1981,1981,Hip,WdShngl,BrkFace,BrkFace,None,0.0,4,3,PConc,4,3,No,ALQ,1104.0,Unf,0.0,1420.0,2524.0,GasA,3,1,SBrkr,0,0,2524,1.0,0.0,2,1,4,1,4,9,Typ,1,4,Attchd,Fin,2.0,542.0,3,3,1.0,474,0,0,0,MnPrv,None,0,7,2009,WD ,278000,28,28,1
909276010,70,RL,0.0,11435,Pave,None,IR1,HLS,AllPub,Corner,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,7,1929,1950,Gable,CompShg,BrkFace,Stucco,None,0.0,3,3,PConc,4,3,No,Unf,0.0,Unf,0.0,792.0,792.0,GasA,2,1,SBrkr,725,0,1517,0.0,0.0,1,0,3,1,4,7,Typ,2,4,Detchd,Unf,2.0,400.0,3,3,1.0,0,0,0,0,None,None,0,6,2006,WD ,230000,77,56,0
533250130,120,RL,30.0,9549,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,Veenker,Norm,Norm,TwnhsE,1Story,8,5,1995,1996,Hip,CompShg,BrkFace,BrkFace,None,0.0,4,4,PConc,4,4,Av,LwQ,437.0,GLQ,1057.0,0.0,1494.0,GasA,5,1,SBrkr,0,0,1494,1.0,0.0,1,1,2,1,5,6,Typ,1,4,Attchd,Fin,2.0,481.0,3,3,1.0,0,216,0,0,None,None,0,4,2006,WD ,270000,11,10,1
535302070,20,RL,60.0,10950,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1952,1952,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,No,ALQ,441.0,Unf,0.0,507.0,948.0,GasA,3,1,SBrkr,0,0,948,0.0,0.0,1,0,2,1,3,5,Typ,0,0,Detchd,Unf,2.0,410.0,3,3,0.0,0,0,0,0,None,None,0,4,2007,WD ,125000,55,55,1
906340110,20,RL,79.0,10637,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2008,Hip,CompShg,VinylSd,VinylSd,Stone,336.0,4,3,PConc,5,3,Gd,GLQ,1288.0,Unf,0.0,417.0,1705.0,GasA,5,1,SBrkr,0,0,1718,1.0,0.0,2,0,3,1,4,7,Typ,1,4,Attchd,RFn,3.0,826.0,3,3,1.0,208,0,0,0,None,None,0,9,2009,WD ,297000,2,1,1
535426150,20,RL,80.0,9000,Pave,None,IR1,HLS,AllPub,Inside,Mod,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Flat,Tar&Grv,Wd Sdng,Wd Sdng,BrkFace,82.0,3,3,CBlock,4,3,Gd,Unf,0.0,Unf,0.0,160.0,160.0,GasA,2,1,SBrkr,0,0,1142,0.0,0.0,1,0,2,1,3,5,Typ,1,4,Basment,RFn,1.0,384.0,3,3,1.0,0,0,0,0,None,None,0,4,2009,WD ,113500,51,51,1
923225240,160,RM,41.0,2665,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,2Story,5,6,1977,1977,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,3,PConc,3,3,No,ALQ,548.0,Rec,173.0,36.0,757.0,GasA,5,1,SBrkr,550,0,1475,0.0,0.0,2,0,4,1,3,6,Typ,1,3,Attchd,RFn,1.0,336.0,3,3,1.0,104,0,0,0,None,None,0,7,2006,WD ,127000,29,29,1
527358140,20,RL,105.0,11751,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,3,3,CBlock,4,3,No,BLQ,705.0,Unf,0.0,1139.0,1844.0,GasA,5,1,SBrkr,0,0,1844,0.0,0.0,2,0,3,1,3,7,Typ,1,3,Attchd,RFn,2.0,546.0,3,3,1.0,0,0,0,0,MnPrv,None,0,1,2010,COD,190000,33,33,1
534177210,20,RL,80.0,9600,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,6,1973,1973,Hip,CompShg,HdBoard,HdBoard,BrkFace,320.0,3,3,CBlock,3,3,No,ALQ,916.0,Unf,0.0,326.0,1242.0,GasA,2,1,SBrkr,0,0,1242,0.0,0.0,1,1,3,1,3,6,Typ,1,3,Attchd,Unf,2.0,528.0,3,3,1.0,0,0,0,0,None,None,0,9,2007,WD ,175500,34,34,0
907135050,20,RL,60.0,8428,Pave,None,IR2,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,7,1994,1994,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,PConc,4,4,No,GLQ,420.0,Unf,0.0,570.0,990.0,GasA,5,1,SBrkr,0,0,990,1.0,0.0,1,0,3,1,3,5,Typ,0,0,Detchd,Unf,1.0,384.0,3,3,1.0,256,0,0,0,None,None,0,7,2007,WD ,146000,13,13,0
908102260,20,RL,75.0,9937,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,6,1965,1965,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,3,CBlock,3,3,No,BLQ,830.0,LwQ,290.0,136.0,1256.0,GasA,4,1,SBrkr,0,0,1256,1.0,0.0,1,1,3,1,3,6,Typ,0,0,Attchd,Fin,1.0,276.0,3,3,1.0,736,0,0,0,None,None,0,6,2008,WD ,147500,43,43,1
528110050,20,RL,107.0,13891,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,10,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,5,3,PConc,5,4,Gd,GLQ,1386.0,Unf,0.0,690.0,2076.0,GasA,5,1,SBrkr,0,0,2076,1.0,0.0,2,1,2,1,5,7,Typ,1,4,Attchd,Fin,3.0,850.0,3,3,1.0,216,0,0,0,None,None,0,9,2006,New,465000,0,0,1
923275040,85,RL,0.0,9101,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,SFoyer,5,6,1978,1978,Gable,CompShg,Plywood,Plywood,BrkFace,104.0,3,4,PConc,4,3,Av,GLQ,1097.0,Unf,0.0,0.0,1097.0,GasA,5,1,SBrkr,0,0,1110,1.0,0.0,1,0,1,1,4,4,Typ,1,3,Attchd,Fin,2.0,602.0,3,3,1.0,303,0,0,0,None,None,0,7,2009,WD ,165500,31,31,1
902406090,50,RM,81.0,12150,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,5,1954,1954,Gable,CompShg,MetalSd,MetalSd,BrkFace,335.0,3,3,BrkTil,3,3,No,Unf,0.0,Unf,0.0,1050.0,1050.0,GasA,5,0,FuseF,745,0,1795,0.0,0.0,2,0,4,1,3,7,Typ,0,0,Attchd,Unf,1.0,352.0,2,3,1.0,0,0,0,0,None,None,0,11,2008,WD ,131500,54,54,0
905102170,20,RL,70.0,11200,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,No,Rec,906.0,Unf,0.0,134.0,1040.0,GasA,5,1,SBrkr,0,0,1040,1.0,0.0,1,0,3,1,3,5,Typ,0,0,Detchd,Unf,1.0,384.0,3,3,1.0,0,0,0,0,None,None,0,2,2008,WD ,129500,43,43,0
909281110,70,RL,100.0,9670,Pave,None,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,6,1935,1950,Gable,CompShg,BrkFace,Stucco,Stone,40.0,3,3,PConc,3,2,No,LwQ,210.0,Unf,0.0,398.0,608.0,GasA,3,1,SBrkr,890,0,1873,0.0,0.0,1,1,4,1,3,9,Typ,2,4,Detchd,Fin,2.0,786.0,2,3,1.0,0,0,0,0,None,None,0,6,2008,WD ,257076,73,58,1
909101140,50,RL,60.0,10998,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,5,1941,1960,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,No,LwQ,408.0,BLQ,420.0,156.0,984.0,GasA,5,1,SBrkr,620,0,1604,0.0,0.0,2,0,3,1,3,6,Min2,0,0,Detchd,Unf,2.0,660.0,3,3,1.0,0,0,0,0,None,None,0,7,2009,WD ,117000,68,49,1
909275050,70,RL,60.0,7200,Pave,None,Reg,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,7,6,1931,2000,Gable,CompShg,Stucco,Wd Shng,None,0.0,3,2,BrkTil,4,3,No,Unf,0.0,Unf,0.0,776.0,776.0,GasA,3,1,SBrkr,651,0,1502,0.0,0.0,1,1,3,1,3,6,Typ,1,4,Attchd,RFn,1.0,270.0,3,3,0.5,0,0,0,0,MnPrv,None,0,2,2008,WD ,149000,77,8,1
534475100,20,RL,80.0,9920,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1954,1954,Gable,CompShg,HdBoard,HdBoard,Stone,110.0,3,3,CBlock,3,3,No,Rec,354.0,LwQ,290.0,412.0,1056.0,GasA,3,1,SBrkr,0,0,1063,1.0,0.0,1,0,3,1,3,6,Typ,0,0,Attchd,RFn,1.0,280.0,3,3,1.0,0,0,0,0,MnPrv,None,0,2,2010,WD ,128000,56,56,1
528188090,160,RL,36.0,2448,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,Twnhs,2Story,7,5,2003,2004,Gable,CompShg,VinylSd,Wd Shng,Stone,106.0,4,3,PConc,4,3,No,Unf,0.0,Unf,0.0,764.0,764.0,GasA,5,1,SBrkr,862,0,1626,0.0,0.0,2,1,2,1,4,6,Typ,0,0,BuiltIn,RFn,2.0,474.0,3,3,1.0,0,0,0,0,None,None,0,10,2008,WD ,155000,5,4,1
533221080,160,FV,0.0,2998,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,6,5,2000,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,513.0,4,3,PConc,4,3,No,GLQ,353.0,Unf,0.0,403.0,756.0,GasA,5,1,SBrkr,756,0,1524,0.0,0.0,2,1,2,1,4,4,Typ,0,0,Detchd,Unf,2.0,440.0,3,3,1.0,0,0,0,0,None,None,0,6,2006,WD ,166000,6,6,1
